orden-inicio,orden,Nombre,Vinculación,Texto,Fecha,Imagen,color-testi,color-tipo
22,22,Cristina de Frutos Alonso,Directora de Orquesta,"Optó en 2017 a la plaza de coordinadora de actividades musicales de los conservatorios. En su declaración señaló a Antonio Luis Suárez como la persona que le adelantó que la plaza estaba dada de antemano, aunque este lo negó a HOY.",2 junio,https://servicios.hoy.es/datos/imagen/cristina_frutos_2.jpg,#00000000,#1694d5
9,9,Ángel Carlos Díaz Mancha,Testigo-perito,Interventor de la Diputación de Badajoz actual.,2 junio,https://servicios.hoy.es/datos/imagen/dip_2.jpg,#00000000,#c90022
10,10,Ángel Seco López,Técnico superior de formación en la Diputación,"Fue mencionado por David Sánchez durante su interrogatorio como uno de sus colaboradores en la Diputación de Badajoz. La jueza de Instrucción pidió la documentación de su contratación para analizar si podía haber indicios de enchufe, por lo que la defensa de David Sánchez se quejó de que veía una ""pátina de culpabilidad"" en todo lo relacionado con su cliente. Efectuará su primera declaración al ser propuesto por las acusaciones y las defensas de David Sánchez y Elisa Moriano. ",2 junio,https://servicios.hoy.es/datos/imagen/dip_2.jpg,#00000000,#c90022
11,11,Víctor Peralta Jiménez,Actual director del área de Tecnología y Digitalización,Primera declaración solicitada por las acusaciones y por la defensa de Elisa Moriano por ser el responsable del área de Informática cuando se realizaron las descargas de las cuentas de correo electrónico pedidas por la jueza y efectuadas por la UCO.,2 junio,https://servicios.hoy.es/datos/imagen/dip_2.jpg,#00000000,#c90022
40,40,Estrella Gordillo Vaquero,Política socialista,"Propuesta como testigo por Miguel Ángel Gallardo. Ella fue una de las responsables de la candidatura de Susana Díaz en las primarias internas del PSOE en 2017, con lo que Gallardo pretende demostrar que en su día no apoyó al actual presidente del Gobierno, Pedro Sánchez, y que no les unía una vinculación intensa como para forzar el contrato de su hermano. Primera declaración.",2 junio,https://servicios.hoy.es/datos/imagen/estrella_gordillo_2.jpg,#00000000,#d2d2d2
4,4,José María Sánchez Sánchez,"Actual jefe del servicio provincial de Bibliotecas, fue alcalde de La Coronada y ahora también es vicesecretario general del PSOE provincial","Propuesto como testigo por Luis Carrero (uno de los once imputados, ex trabajador de la Diputación que llamaba 'hermanito' a David en los correos electrónicos) y por la defensa del ex diputado de Cultura y actual alcalde de Castuera, Francisco Martos, y los funcionarios Emilia Parejo y Manuel Candalija. Primera declaración.",2 junio,https://servicios.hoy.es/datos/imagen/jose_maria_sanchez_2.jpg,#00000000,#c90022
12,12,Inmaculada Cordón Rosado,Jefa de servicio de Gestión de Recursos Humanos,"Propuesta por Luis Carrero y por la defensa del ex diputado de Cultura y actual alcalde de Castuera, Francisco Martos, y los funcionarios Emilia Parejo y Manuel Candalija. Primera declaración. ",2 junio,https://servicios.hoy.es/datos/imagen/dip_2.jpg,#00000000,#c90022
13,13,María Luisa del Viejo López,Jefa de Sección Coordinacion y Programas de Actividades Transfronterizas,"Propuesta por Carrero, desarolla actualmente el puesto que este tuvo en la Diputación de Badajoz",2 junio,https://servicios.hoy.es/datos/imagen/dip_2.jpg,#00000000,#c90022
14,14,Alejandro Vázquez Rafael,"Jefe de los Servicios Centrales de Cultura, Deportes y Juventud","Propuesto por la defensa del ex diputado de Cultura y actual alcalde de Castuera, Francisco Martos, y los funcionarios Emilia Parejo y Manuel Candalija. Primera declaración.",2 junio,https://servicios.hoy.es/datos/imagen/dip_2.jpg,#00000000,#c90022
15,15,Santiago Cuadrado Rodríguez,Técnico superior de formación de la Diputación de Badajoz,"Propuesto por las defensas del ex diputado de Cultura y actual alcalde de Castuera, Francisco Martos, y los funcionarios Emilia Parejo y Manuel Candalija. Primera declaración.",2 junio,https://servicios.hoy.es/datos/imagen/dip_2.jpg,#00000000,#c90022
16,16,Francisco Flores Galván,"Jefe de negociado de Coordinación Aplicativos RR.HH, Plantilla y RPT","Propuesto por la defensa de Juana Cintas Calderón Zazo, primera teniente de alcalde el Ayuntamiento de Badajoz que fue era directora del área de Recursos Humanos de la institución provincial entre 2016 y 2023. Actual directora del Área de Cooperación Municipal y Atención a Alcaldes y Alcaldesas. Primera declaración.",2 junio,https://servicios.hoy.es/datos/imagen/dip_2.jpg,#00000000,#c90022
17,17,María Jesús Bernáldez Adame,Jefa de Negociado de Control e Inspección del Área de RRHH y Régimen Interior,En su cometido diario lleva a cabo la gestión del aplicativo informático de control horario del personal funcionario y laboral de la institución provincial. Propuesta por Juana Cintas Calderón Zazo. Primera declaración.,2 junio,https://servicios.hoy.es/datos/imagen/dip_2.jpg,#00000000,#c90022
18,18,Inmaculada López Bueno,Funcionaria con destino en el Área de Presidencia y Relaciones Institucionales,"Colaboró en la preparación del expediente administrativo de la modificación de la RPT del ejercicio 2023, cuando el puesto de David Sánchez pasó de coordinador de las actividades musicales de los conservatorios a director de la Oficina de Artes Escénicas. Propuesta por Juana Cintas Calderón Zazo. Primera declaración.",2 junio,https://servicios.hoy.es/datos/imagen/dip_2.jpg,#00000000,#c90022
19,19,Cristina Correa Cruz,,Ha desempeñado en los últimos tiempos la dirección del área de RRHH y Régimen Interior y es autora de diferentes informes que obran en el procedimiento. Propuesta por Juana Cintas Calderón Zazo. Primera declaración.,2 junio,https://servicios.hoy.es/datos/imagen/dip_2.jpg,#00000000,#c90022
5,5,Ramón Díaz Farias,Actual vicepresidente tercero de la Diputación de Badajoz y diputado de Recursos Humanos,"Alcalde de Villanueva del Fresno, ha intentado ser secretario general del PSOE de Extremadura esta primavera. Propuesto por Luis Carrero, el ex empleado que llamaba 'hermanito' a David en los correos. Primera declaración.",2 junio,https://servicios.hoy.es/datos/imagen/diaz_farias_2.jpg,#00000000,#c90022
20,20,Juan Francisco Durán Múñoz,Letrado jubilado de la institución provincial,Testifica a iniciativa de Luis Carrero. Primera declaración.,3 junio,https://servicios.hoy.es/datos/imagen/dip_2.jpg,#00000000,#c90022
41,41,Miguel Ayuso Quevedo,Amigo personal de Luis Carrero ,Citado a iniciativa suya para declarar sobre la relación de amistad de Carrero y Sánchez. Primera declaración.,3 junio,https://servicios.hoy.es/datos/imagen/otros_2.jpg,#00000000,#d2d2d2
42,42,María Martínez Candela,Amiga personal de Luis Carrero,Citado a iniciativa suya para declarar sobre la relación de amistad de Carrero y Sánchez. Primera declaración.,3 junio,https://servicios.hoy.es/datos/imagen/otros_2.jpg,#00000000,#d2d2d2
29,29,Guardia Civil,Han intervenido en el procedimiento,Hay que tener en cuenta que se han incautado cuentas de correo electrónico corporativas de los encausados en diversas visitas a la Diputación de Badajoz por orden judicial relacionados con esta investigación y que la UCO ha elaborado tres informes con el contenido de los mensajes. Se han intervenido más de 3.000 correos.,3 junio,https://servicios.hoy.es/datos/imagen/guardia_civil_2.jpg,,#23a476
30,30,Guardia Civil,Han intervenido en el procedimiento,Hay que tener en cuenta que se han incautado cuentas de correo electrónico corporativas de los encausados en diversas visitas a la Diputación de Badajoz por orden judicial relacionados con esta investigación y que la UCO ha elaborado tres informes con el contenido de los mensajes. Se han intervenido más de 3.000 correos.,3 junio,https://servicios.hoy.es/datos/imagen/guardia_civil_2.jpg,,#23a476
31,31,Guardia Civil,Han intervenido en el procedimiento,Hay que tener en cuenta que se han incautado cuentas de correo electrónico corporativas de los encausados en diversas visitas a la Diputación de Badajoz por orden judicial relacionados con esta investigación y que la UCO ha elaborado tres informes con el contenido de los mensajes. Se han intervenido más de 3.000 correos.,3 junio,https://servicios.hoy.es/datos/imagen/guardia_civil_2.jpg,,#23a476
32,32,Guardia Civil,Han intervenido en el procedimiento,Hay que tener en cuenta que se han incautado cuentas de correo electrónico corporativas de los encausados en diversas visitas a la Diputación de Badajoz por orden judicial relacionados con esta investigación y que la UCO ha elaborado tres informes con el contenido de los mensajes. Se han intervenido más de 3.000 correos.,3 junio,https://servicios.hoy.es/datos/imagen/guardia_civil_2.jpg,,#23a476
33,33,Guardia Civil,Han intervenido en el procedimiento,Hay que tener en cuenta que se han incautado cuentas de correo electrónico corporativas de los encausados en diversas visitas a la Diputación de Badajoz por orden judicial relacionados con esta investigación y que la UCO ha elaborado tres informes con el contenido de los mensajes. Se han intervenido más de 3.000 correos.,3 junio,https://servicios.hoy.es/datos/imagen/guardia_civil_2.jpg,,#23a476
34,34,Guardia Civil,Han intervenido en el procedimiento,Hay que tener en cuenta que se han incautado cuentas de correo electrónico corporativas de los encausados en diversas visitas a la Diputación de Badajoz por orden judicial relacionados con esta investigación y que la UCO ha elaborado tres informes con el contenido de los mensajes. Se han intervenido más de 3.000 correos.,3 junio,https://servicios.hoy.es/datos/imagen/guardia_civil_2.jpg,,#23a476
35,35,Guardia Civil,Han intervenido en el procedimiento,Hay que tener en cuenta que se han incautado cuentas de correo electrónico corporativas de los encausados en diversas visitas a la Diputación de Badajoz por orden judicial relacionados con esta investigación y que la UCO ha elaborado tres informes con el contenido de los mensajes. Se han intervenido más de 3.000 correos.,3 junio,https://servicios.hoy.es/datos/imagen/guardia_civil_2.jpg,,#23a476
36,36,Guardia Civil,Han intervenido en el procedimiento,Hay que tener en cuenta que se han incautado cuentas de correo electrónico corporativas de los encausados en diversas visitas a la Diputación de Badajoz por orden judicial relacionados con esta investigación y que la UCO ha elaborado tres informes con el contenido de los mensajes. Se han intervenido más de 3.000 correos.,3 junio,https://servicios.hoy.es/datos/imagen/guardia_civil_2.jpg,,#23a476
37,37,Guardia Civil,Han intervenido en el procedimiento,Hay que tener en cuenta que se han incautado cuentas de correo electrónico corporativas de los encausados en diversas visitas a la Diputación de Badajoz por orden judicial relacionados con esta investigación y que la UCO ha elaborado tres informes con el contenido de los mensajes. Se han intervenido más de 3.000 correos.,3 junio,https://servicios.hoy.es/datos/imagen/guardia_civil_2.jpg,,#23a476
